Embuastur S.L.,0012126018,Spain
Baconspecialist Zandbergen,0010500041,Netherlands
HDS - Robo Specialtià Alimentari,0002489961,Italy
1-2-3 Gluten Free,0040145933,United States of America
10 Saints Brewery Company Ltd,0040148101,Barbados
"1001 Delikatessen BCN, S.L.",0040193237,Spain
"Almendra y Miel, S.A. (1880 & el Lobo Nougats)",0040014935,Spain
2 Sisters Storteboom B.V.,0001828665,Netherlands
2 Sisters Food Group/ Green Isle Food Group,0015951831,Ireland
2 Sisters red Meat Ltd.,0016049207,United Kingdom
2VD sprl,0040013302,Belgium
3-Stjernet A/S,0001412159,Denmark
"3M Food Product Co., Ltd.",0016665371,Thailand
3M for Expoty & Import L.T.D.,0040189832,Egypt
"4 Care Co., Ltd.",0012577037,Thailand
808 mineral water SEEMPA,0040199228,France
Fábrica de Conservas A Poveira SA,0011117340,Portugal
A&M; Mediapartners Oy,0040193850,Finland
"A+Z Risnovsky, Halasz s.r.o.",0040019123,Slovakia
A.D. Distribuzione srl Caffe' Donatello,0011218831,Italy
A.D.R. SpA,0001024159,Italy
A.M.T. HandelsgmbH,0002207610,Austria
A.R.I.A. Midi-Pyrenees,0040142109,France
AA Bakeries International,0013395246,Netherlands
Aachener Printen- und Schokoladenfabrik HENRY LAMBERTZ GmbH & Co. KG,0000100463,Germany
Aalbaek Specialiteter,0040193233,Denmark
AAPrA (Agence Aquitaine de Promotion Agroalimentaire),0000875740,France
Aashray Impex (Agri Venture),0014652322,India
AATCO LLC,0002491704,Oman
AB. Technologies Alimentaires,0011137909,France
abacus edv-lösungen GmbH,0010959962,Germany
Abattoir et Marche Bastogne Veviba,0002398997,Belgium
Abbelen GmbH,0000160504,Germany
Abbey Beer sprl,0040187246,Belgium
Brewery Abbey of Val-Dieu SA,0040187271,Belgium
"ABC Products Co.,Ltd.",0002224227,Thailand
Abdul Rahman M. Harraz & Co.,0014626143,Egypt
Etablissements Abera,0010496194,France
Abido Company for Trade & Industry,0002289529,Lebanon
Able Perfect Pte Ltd,0040066704,Singapore
Ablig Feinfrost GmbH,0001900722,Germany
Abou Arab Haider Est. for Damascene Gourmet Sweets,0040016115,Syria
ABP Food Group,0002406654,Ireland
Acaimania Europe s.r.o.,0014861278,Slovakia
acáo GmbH,0040185141,Germany
Acarsan Makarna un Gida Insaat san ve tic A.S.,0040192322,Turkey
Accura Organic Foods,0015969783,India
ACE Synergy International Pte Ltd,0014487425,Singapore
Acetaia Villa Modena SRL,0015628266,Italy
Aceite Aroden Hispania S.L.,0040188690,Spain
Aceitera General Deheza S.A.,0002259734,Argentina
Aceites Abril S.L.,0040065584,Spain
"Aceites Borges Pont, SAU",0040190771,Spain
Aceites Castellar S.L. - Nobleza del Sur,0040197612,Spain
Aceites de las Heras,0012148871,Spain
"Aceites del Sur-Coosur, S.A.",0040196370,Germany
Aceites Garcia de la Cruz S.L.,0002409339,Spain
"Aceites Mayo, S.L.",0040147546,Spain
"Aceites Muñoz, S.L",0011135933,Spain
"Lorenzo Sandua, S.L. (Aceites Sandua)",0040066095,Spain
"Aceites Toledo, S.A.",0001294679,Spain
"Aceites Valdezarza/Lands and Buildings, S.L.",0040190797,Spain
Aceitunas Losada S.L.,0040105198,Spain
Aceitunas Callosa S.L.,0040141438,Spain
Aceitunas Cazorla S.L.,0002503382,Spain
"Aceitunas Guadalquivir, S.L.",0002336868,Spain
"Aceitunas Torrent, S.L.",0002446663,Spain
Acetaia Terra Del Tuono SOC. AGR. SRL,0040003742,Italy
Acetaia Marchi Srl,0040185117,Italy
ACETAIA CAZZOLA E FIORINI S.R.L.,0040178037,Italy
Acetaia Astrology,0040144470,Italy
Acetaia di Modena S.R.L.,0002207775,Italy
Acetaia Fini Modena SRL,0002504344,Italy
Acetaia Giuseppe Cremonini s.r.l.,0040066173,Italy
Acetaia Giusti Srl,0040067529,Italy
Acetaia Leonardi Giovanni,0002334434,Italy
Acetificio Andrea Milano SRL,0002333989,Italy
Acetificio Mengazzoli s.n.c. di Mengazzoli Giorgio & C.,0002333995,Italy
Acetificio Carandini Emilio SpA,0002210222,Italy
Acetificio Aretino Srl,0001415875,Italy
Aceto Balsamico del Duca di Adriano Grosoli Srl,0001067443,Italy
Aceto Balsamico Condimenti Dintorni s.r.l.,0040172872,Italy
Acetomodena Societa' Agricola sas di Marchi Patrizia,0016011187,Italy
Acetum S.p.a.,0001856545,Italy
AchaiaValues (Exports Office of Development Company- Chamber of Achaia),0040189971,Greece
Achva,0014272721,Israel
Amsterdam Commodities N.V. (Acomo),0015932566,Netherlands
Aconcagua Foods S.A.,0002268849,Chile
Acos S.P.A.,0002453394,Italy
Dolciaria Acquaviva S.p.A.,0010505398,Italy
"Acroyali Holdings Qingdao Co., Ltd.",0011856765,China
Act Dis Ticaret A.s.,0040105271,Turkey
Activ Sp z.o.o.,0040192703,Poland
"Acushla, S.A.",0040181450,Portugal
Adadapi Cruz Asociacion de Apicultores del Departamento de Santa Cruz,0040194643,Bolivia
Adam Foods,0017060438,Spain
Adamexpo,0002225678,Sri Lanka
Adamjee Lukmanjee and Sons (Pvt) Ltd,0040008645,Sri Lanka
Adani Food Products Pvt. Ltd.,0012148985,India
Adanim Tea Company (1991) Ltd.,0011122718,Israel
Adelle Foods,0040194960,Brazil
Adiqo GmbH,0040197605,Germany
ADL Limited,0040116541,Bulgaria
Hans Adler OHG,0000131229,Germany
ADM Antwerp N.V.,0002268760,Belgium
Adonis Spices,0002341519,Lebanon
Aegean Fresh Fruits & Vegetables Exporters' Association,0040178707,Turkey
Agricultural Cooperatives Union- Aeghion S.A.,0011878291,Greece
AER Company LTD,0040190323,Georgia
Aerzener Brot und Kuchen GmbH,0002228356,Germany
AFFCO New Zealand Ltd,0002404374,New Zealand
Affineur Walo von Mühlenen AG,0040141138,Switzerland
AFP Advanced Food Products llc,0010386161,United States of America
"afz – allgemeine fleischer zeitung /  FleischWirtschaft, dfv Mediengruppe",0002214952,Germany
Agence Philippe Carnoy,0011288779,Germany
Agencja Rynku Rolnego,0011224840,Poland
"AGER GesmbH, Speck- und Wildspezialitäten",0001534432,Austria
Advanced Global Industries AGI,0016164226,Egypt
Az. Agr. Fagruminda,0040197676,Italy
Az. Agr. Laura Bargione,0040197671,Italy
Agra' Contado degli Acquaviva Srl,0002336341,Italy
AGRAL Butter s.a.,0011835309,Belgium
Agram S.A.,0015405121,Poland
Agrana Beteiligungs AG,0012354125,Austria
Agranela Ltd,0002503958,Serbia
Agrapulse S.A.,0013154115,China
Agrar KO Ltd.,0014687386,Macedonia
Agrarfrost GmbH & Co.KG,0000170585,Germany
Agrarmarketing Mecklenburg-Vorpomme rn e.V,0002410566,Germany
Agrarmarkt Austria Marketing GesmbH,0001901583,Austria
Agrexco Carmel Export Co. Ltd,0040192110,Israel
Agrexpo S.A.,0013251007,Greece
Agri Business Company - Abco,0015999679,Tunisia
Agri-Food Export Group Québec-Canada,0040108397,Canada
Agrico Organic Farms,0040190524,Qatar
Societa' Agricola Agrinett Srl,0040191621,Italy
Az. Agricola Altilia di Altilia Francesco Antonio,0040197786,Italy
Agricola Himalaya S.A.,0016127032,Colombia
Agricola y Ganadera Chavin de Huantar SA,0040188398,Peru
Agricultura y Conservas S.A.,0001410636,Spain
Agriconserve Rega Soc. Coop. Agr.,0040108309,Italy
Agricultores Fed. Argentinos AFA S.C.L,0014667796,Argentina
"Agricultura Department of Jiangxi Province, China",0040198599,China
Agricultural & Processed Food Products Export Development Authorithy,0001894978,India
Agricultural Export Council,0040191862,Egypt
Canada - Agriculture and Agri-Food,0002255084,Canada
Agricurtural Association of Amfissa,0011132182,Greece
Agriform SCA,0001913646,Italy
Agrifreda S.A.,0040106114,Greece
Agrika International Inc,0016017281,United States of America
AGRIM PTE LTD,0040150047,Singapore
Agrin Maroc,0011125065,Morocco
Agrino - Ev.Ge. Pistiolas S.A.,0002270317,Greece
Agrioil SPA,0012574840,Italy
Agriprod Alim s.r.l.,0040198015,Romania
Agripromos -Azienda spec. CCIAA di Napoli,0002504654,Italy
Agrisicilia Srl,0015623108,Italy
Agristo nV,0001825356,Belgium
Agritalia SRL,0002401555,Italy
Azienda agricola Agriturismo Montereggi,0040197834,Italy
Az. Agr. Agrituristica Ronco delle Rose di Sacchi Davide,0040197824,Italy
Agro Aceitunera S.A.,0002500398,Argentina
Agro Bio Seed Ltd,0040189093,Bulgaria
Agro Food Industry,0040189585,Morocco
Cherish Agro Impex PVT. LTD.,0040185824,India
Agro Industrial Fruta de La Pasión C. Ltda.,0040063475,Ecuador
Agro Industrias Alimenticias De Veraguas,0040196713,Panama
Agro Jerneh Sdn Bhd,0016372291,Malaysia
Agro Juice Processing SA,0040189761,Morocco
